Humedad	Hora		
475	15:10:30		
472	15:11:00		
472	15:11:30		
473	15:12:00		
472	15:12:30		
473	15:13:00		
471	15:13:30		
472	15:14:00		
472	15:14:30		
471	15:15:00		
470	15:15:30		
471	15:16:00		
471	15:16:30		
471	15:17:00		
472	15:17:30		
469	15:18:00		
471	15:18:30		
470	15:19:00		
471	15:19:30		
470	15:20:00		
472	15:20:30		
470	15:21:00		
470	15:21:30		
470	15:22:00		
472	15:22:30		
469	15:23:00		
470	15:23:30		
470	15:24:00		
470	15:24:30		
470	15:25:00		
470	15:25:30		
469	15:26:00		
470	15:26:30		
468	15:27:00		
467	15:27:30		
467	15:28:00		
470	15:28:30		
468	15:29:00		
470	15:29:30		
469	15:30:00		
467	15:30:30		
468	15:31:00		
469	15:31:30		
468	15:32:00		
468	15:32:30		
467	15:33:00		
468	15:33:30		
467	15:34:00		
468	15:34:30		
467	15:35:00		
467	15:35:30		
467	15:36:00		
467	15:36:30		
467	15:37:00		
467	15:37:30		
467	15:38:00		
465	15:38:30		
466	15:39:00		
464	15:39:30		
465	15:40:00		
465	15:40:30		
465	15:41:00		
464	15:41:30		
465	15:42:00		
465	15:42:30		
464	15:43:00		
464	15:43:30		
464	15:44:00		
464	15:44:30		
464	15:45:00		
463	15:45:30		
465	15:46:00		
462	15:46:30		
462	15:47:00		
464	15:47:30		
465	15:48:00		
464	15:48:30		
464	15:49:00		
463	15:49:30		
462	15:50:00		
463	15:50:30		
462	15:51:00		
462	15:51:30		
461	15:52:00		
463	15:52:30		
462	15:53:00		
462	15:53:30		
461	15:54:00		
464	15:54:30		
463	15:55:00		
463	15:55:30		
461	15:56:00		
461	15:56:30		
462	15:57:00		
460	15:57:30		
461	15:58:00		
460	15:58:30		
462	15:59:00		
460	15:59:30		
461	16:00:00		
460	16:00:30		
460	16:01:00		
462	16:01:30		
461	16:02:00		
460	16:02:30		
460	16:03:00		
459	16:03:30		
460	16:04:00		
460	16:04:30		
460	16:05:00		
459	16:05:30		
458	16:06:00		
459	16:06:30		
458	16:07:00		
459	16:07:30		
458	16:08:00		
458	16:08:30		
457	16:09:00		
458	16:09:30		
459	16:10:00		
457	16:10:30		
457	16:11:00		
457	16:11:30		
458	16:12:00		
455	16:12:30		
459	16:13:00		
457	16:13:30		
458	16:14:00		
455	16:14:30		
456	16:15:00		
458	16:15:30		
456	16:16:00		
455	16:16:30		
456	16:17:00		
455	16:17:30		
456	16:18:00		
454	16:18:30		
454	16:19:00		
455	16:19:30		
454	16:20:00		
453	16:20:30		
454	16:21:00		
454	16:21:30		
454	16:22:00		
453	16:22:30		
454	16:23:00		
454	16:23:30		
453	16:24:00		
454	16:24:30		
455	16:25:00		
451	16:25:30		
451	16:26:00		
453	16:26:30		
453	16:27:00		
451	16:27:30		
452	16:28:00		
452	16:28:30		
453	16:29:00		
451	16:29:30		
453	16:30:00		
453	16:30:30		
452	16:31:00		
452	16:31:30		
454	16:32:00		
453	16:32:30		
451	16:33:00		
452	16:33:30		
452	16:34:00		
453	16:34:30		
452	16:35:00		
452	16:35:30		
452	16:36:00		
451	16:36:30		
450	16:37:00		
452	16:37:30		
451	16:38:00		
451	16:38:30		
452	16:39:00		
451	16:39:30		
451	16:40:00		
451	16:40:30		
452	16:41:00		
450	16:41:30		
451	16:42:00		
451	16:42:30		
451	16:43:00		
450	16:43:30		
451	16:44:00		
450	16:44:30		
448	16:45:00		
451	16:45:30		
450	16:46:00		
449	16:46:30		
449	16:47:00		
449	16:47:30		
450	16:48:00		
451	16:48:30		
449	16:49:00		
449	16:49:30		
449	16:50:00		
449	16:50:30		
449	16:51:00		
449	16:51:30		
448	16:52:00		
448	16:52:30		
448	16:53:00		
448	16:53:30		
447	16:54:00		
448	16:54:30		
449	16:55:00		
448	16:55:30		
448	16:56:00		
448	16:56:30		
450	16:57:00		
447	16:57:30		
448	16:58:00		
449	16:58:30		
448	16:59:00		
448	16:59:30		
448	17:00:00		
447	17:00:30		
448	17:01:00		
446	17:01:30		
447	17:02:00		
446	17:02:30		
447	17:03:00		
446	17:03:30		
447	17:04:00		
446	17:04:30		
448	17:05:00		
446	17:05:30		
446	17:06:00		
446	17:06:30		
446	17:07:00		
446	17:07:30		
449	17:08:00		
446	17:08:30		
445	17:09:00		
446	17:09:30		
446	17:10:00		
446	17:10:30		
447	17:11:00		
445	17:11:30		
444	17:12:00		
447	17:12:30		
445	17:13:00		
446	17:13:30		
445	17:14:00		
445	17:14:30		
445	17:15:00		
446	17:15:30		
445	17:16:00		
445	17:16:30		
445	17:17:00		
446	17:17:30		
444	17:18:00		
445	17:18:30		
444	17:19:00		
444	17:19:30		
445	17:20:00		
444	17:20:30		
445	17:21:00		
445	17:21:30		
445	17:22:00		
444	17:22:30		
445	17:23:00		
444	17:23:30		
445	17:24:00		
444	17:24:30		
445	17:25:00		
444	17:25:30		
443	17:26:00		
445	17:26:30		
446	17:27:00		
444	17:27:30		
446	17:28:00		
444	17:28:30		
444	17:29:00		
445	17:29:30		
444	17:30:00		
443	17:30:30		
446	17:31:00		
446	17:31:30		
444	17:32:00		
444	17:32:30		
442	17:33:00		
445	17:33:30		
444	17:34:00		
444	17:34:30		
444	17:35:00		
444	17:35:30		
445	17:36:00		
445	17:36:30		
443	17:37:00		
446	17:37:30		
444	17:38:00		
445	17:38:30		
444	17:39:00		
445	17:39:30		
443	17:40:00		
443	17:40:30		
444	17:41:00		
442	17:41:30		
444	17:42:00		
444	17:42:30		
444	17:43:00		
443	17:43:30		
444	17:44:00		
444	17:44:30		
444	17:45:00		
443	17:45:30		
443	17:46:00		
443	17:46:30		
443	17:47:00		
442	17:47:30		
444	17:48:00		
443	17:48:30		
441	17:49:00		
442	17:49:30		
444	17:50:00		
442	17:50:30		
441	17:51:00		
441	17:51:30		
442	17:52:00		
441	17:52:30		
441	17:53:00		
439	17:53:30		
442	17:54:00		
443	17:54:30		
442	17:55:00		
442	17:55:30		
443	17:56:00		
441	17:56:30		
442	17:57:00		
441	17:57:30		
442	17:58:00		
442	17:58:30		
441	17:59:00		
441	17:59:30		
441	18:00:00		
441	18:00:30		
441	18:01:00		
442	18:01:30		
441	18:02:00		
441	18:02:30		
442	18:03:00		
441	18:03:30		
443	18:04:00		
441	18:04:30		
441	18:05:00		
442	18:05:30		
441	18:06:00		
440	18:06:30		
439	18:07:00		
439	18:07:30		
439	18:08:00		
440	18:08:30		
441	18:09:00		
440	18:09:30		
439	18:10:00		
439	18:10:30		
439	18:11:00		
438	18:11:30		
439	18:12:00		
440	18:12:30		
440	18:13:00		
438	18:13:30		
439	18:14:00		
439	18:14:30		
440	18:15:00		
440	18:15:30		
440	18:16:00		
438	18:16:30		
439	18:17:00		
439	18:17:30		
440	18:18:00		
439	18:18:30		
439	18:19:00		
438	18:19:30		
438	18:20:00		
438	18:20:30		
438	18:21:00		
439	18:21:30		
437	18:22:00		
438	18:22:30		
437	18:23:00		
438	18:23:30		
439	18:24:00		
437	18:24:30		
439	18:25:00		
438	18:25:30		
439	18:26:00		
438	18:26:30		
439	18:27:00		
440	18:27:30		
438	18:28:00		
438	18:28:30		
439	18:29:00		
437	18:29:30		
437	18:30:00		
437	18:30:30		
435	18:31:00		
435	18:31:30		
435	18:32:00		
435	18:32:30		
434	18:33:00		
433	18:33:30		
435	18:34:00		
434	18:34:30		
433	18:35:00		
435	18:35:30		
434	18:36:00		
433	18:36:30		
434	18:37:00		
434	18:37:30		
435	18:38:00		
435	18:38:30		
435	18:39:00		
434	18:39:30		
435	18:40:00		
434	18:40:30		
435	18:41:00		
435	18:41:30		
436	18:42:00		
434	18:42:30		
434	18:43:00		
434	18:43:30		
435	18:44:00		
436	18:44:30		
434	18:45:00		
435	18:45:30		
436	18:46:00		
435	18:46:30		
434	18:47:00		
434	18:47:30		
435	18:48:00		
436	18:48:30		
434	18:49:00		
435	18:49:30		
434	18:50:00		
435	18:50:30		
435	18:51:00		
436	18:51:30		
434	18:52:00		
435	18:52:30		
436	18:53:00		
435	18:53:30		
436	18:54:00		
436	18:54:30		
435	18:55:00		
435	18:55:30		
435	18:56:00		
436	18:56:30		
437	18:57:00		
436	18:57:30		
437	18:58:00		
437	18:58:30		
437	18:59:00		
438	18:59:30		
436	19:00:00		
438	19:00:30		
436	19:01:00		
439	19:01:30		
438	19:02:00		
437	19:02:30		
437	19:03:00		
437	19:03:30		
436	19:04:00		
435	19:04:30		
436	19:05:00		
437	19:05:30		
437	19:06:00		
438	19:06:30		
439	19:07:00		
437	19:07:30		
438	19:08:00		
438	19:08:30		
438	19:09:00		
438	19:09:30		
439	19:10:00		
440	19:10:30		
438	19:11:00		
438	19:11:30		
440	19:12:00		
439	19:12:30		
441	19:13:00		
440	19:13:30		
440	19:14:00		
439	19:14:30		
441	19:15:00		
439	19:15:30		
441	19:16:00		
441	19:16:30		
440	19:17:00		
441	19:17:30		
440	19:18:00		
440	19:18:30		
440	19:19:00		
440	19:19:30		
441	19:20:00		
442	19:20:30		
442	19:21:00		
442	19:21:30		
440	19:22:00		
441	19:22:30		
439	19:23:00		
441	19:23:30		
441	19:24:00		
441	19:24:30		
441	19:25:00		
440	19:25:30		
442	19:26:00		
441	19:26:30		
442	19:27:00		
444	19:27:30		
441	19:28:00		
442	19:28:30		
442	19:29:00		
443	19:29:30		
443	19:30:00		
443	19:30:30		
442	19:31:00		
444	19:31:30		
443	19:32:00		
443	19:32:30		
442	19:33:00		
443	19:33:30		
443	19:34:00		
444	19:34:30		
442	19:35:00		
442	19:35:30		
443	19:36:00		
443	19:36:30		
443	19:37:00		
442	19:37:30		
443	19:38:00		
444	19:38:30		
442	19:39:00		
444	19:39:30		
444	19:40:00		
443	19:40:30		
444	19:41:00		
444	19:41:30		
443	19:42:00		
444	19:42:30		
445	19:43:00		
445	19:43:30		
444	19:44:00		
446	19:44:30		
445	19:45:00		
444	19:45:30		
445	19:46:00		
444	19:46:30		
445	19:47:00		
445	19:47:30		
445	19:48:00		
446	19:48:30		
445	19:49:00		
446	19:49:30		
444	19:50:00		
445	19:50:30		
446	19:51:00		
446	19:51:30		
447	19:52:00		
447	19:52:30		
447	19:53:00		
447	19:53:30		
446	19:54:00		
446	19:54:30		
448	19:55:00		
447	19:55:30		
448	19:56:00		
448	19:56:30		
448	19:57:00		
449	19:57:30		
449	19:58:00		
448	19:58:30		
448	19:59:00		
449	19:59:30		
449	20:00:00		
449	20:00:30		
449	20:01:00		
449	20:01:30		
449	20:02:00		
451	20:02:30		
450	20:03:00		
449	20:03:30		
451	20:04:00		
451	20:04:30		
451	20:05:00		
451	20:05:30		
451	20:06:00		
451	20:06:30		
451	20:07:00		
450	20:07:30		
450	20:08:00		
451	20:08:30		
451	20:09:00		
452	20:09:30		
451	20:10:00		
452	20:10:30		
452	20:11:00		
452	20:11:30		
451	20:12:00		
453	20:12:30		
452	20:13:00		
453	20:13:30		
453	20:14:00		
451	20:14:30		
452	20:15:00		
454	20:15:30		
453	20:16:00		
453	20:16:30		
456	20:17:00		
452	20:17:30		
453	20:18:00		
453	20:18:30		
453	20:19:00		
455	20:19:30		
454	20:20:00		
455	20:20:30		
455	20:21:00		
455	20:21:30		
455	20:22:00		
456	20:22:30		
455	20:23:00		
456	20:23:30		
454	20:24:00		
457	20:24:30		
456	20:25:00		
456	20:25:30		
455	20:26:00		
456	20:26:30		
456	20:27:00		
455	20:27:30		
458	20:28:00		
457	20:28:30		
456	20:29:00		
456	20:29:30		
456	20:30:00		
457	20:30:30		
456	20:31:00		
458	20:31:30		
458	20:32:00		
457	20:32:30		
457	20:33:00		
458	20:33:30		
458	20:34:00		
458	20:34:30		
459	20:35:00		
458	20:35:30		
459	20:36:00		
459	20:36:30		
458	20:37:00		
459	20:37:30		
458	20:38:00		
458	20:38:30		
459	20:39:00		
461	20:39:30		
461	20:40:00		
459	20:40:30		
459	20:41:00		
459	20:41:30		
461	20:42:00		
459	20:42:30		
459	20:43:00		
459	20:43:30		
460	20:44:00		
458	20:44:30		
460	20:45:00		
461	20:45:30		
461	20:46:00		
461	20:46:30		
459	20:47:00		
461	20:47:30		
462	20:48:00		
460	20:48:30		
461	20:49:00		
461	20:49:30		
461	20:50:00		
461	20:50:30		
462	20:51:00		
461	20:51:30		
463	20:52:00		
461	20:52:30		
462	20:53:00		
461	20:53:30		
462	20:54:00		
461	20:54:30		
463	20:55:00		
461	20:55:30		
461	20:56:00		
461	20:56:30		
464	20:57:00		
461	20:57:30		
462	20:58:00		
463	20:58:30		
462	20:59:00		
462	20:59:30		
461	21:00:00		
462	21:00:30		
461	21:01:00		
464	21:01:30		
461	21:02:00		
462	21:02:30		
463	21:03:00		
464	21:03:30		
463	21:04:00		
463	21:04:30		
463	21:05:00		
464	21:05:30		
463	21:06:00		
464	21:06:30		
463	21:07:00		
463	21:07:30		
464	21:08:00		
464	21:08:30		
464	21:09:00		
464	21:09:30		
464	21:10:00		
464	21:10:30		
466	21:11:00		
463	21:11:30		
466	21:12:00		
464	21:12:30		
464	21:13:00		
464	21:13:30		
464	21:14:00		
464	21:14:30		
464	21:15:00		
465	21:15:30		
465	21:16:00		
464	21:16:30		
465	21:17:00		
465	21:17:30		
464	21:18:00		
466	21:18:30		
465	21:19:00		
465	21:19:30		
466	21:20:00		
467	21:20:30		
466	21:21:00		
466	21:21:30		
467	21:22:00		
466	21:22:30		
467	21:23:00		
465	21:23:30		
466	21:24:00		
466	21:24:30		
466	21:25:00		
466	21:25:30		
466	21:26:00		
467	21:26:30		
466	21:27:00		
466	21:27:30		
467	21:28:00		
468	21:28:30		
467	21:29:00		
466	21:29:30		
466	21:30:00		
466	21:30:30		
466	21:31:00		
467	21:31:30		
467	21:32:00		
467	21:32:30		
467	21:33:00		
468	21:33:30		
468	21:34:00		
467	21:34:30		
468	21:35:00		
467	21:35:30		
468	21:36:00		
469	21:36:30		
468	21:37:00		
467	21:37:30		
469	21:38:00		
470	21:38:30		
468	21:39:00		
468	21:39:30		
469	21:40:00		
468	21:40:30		
466	21:41:00		
468	21:41:30		
470	21:42:00		
469	21:42:30		
469	21:43:00		
469	21:43:30		
469	21:44:00		
470	21:44:30		
467	21:45:00		
469	21:45:30		
469	21:46:00		
470	21:46:30		
469	21:47:00		
470	21:47:30		
469	21:48:00		
470	21:48:30		
469	21:49:00		
471	21:49:30		
469	21:50:00		
470	21:50:30		
469	21:51:00		
469	21:51:30		
469	21:52:00		
470	21:52:30		
470	21:53:00		
470	21:53:30		
470	21:54:00		
470	21:54:30		
470	21:55:00		
470	21:55:30		
469	21:56:00		
471	21:56:30		
470	21:57:00		
472	21:57:30		
469	21:58:00		
469	21:58:30		
472	21:59:00		
470	21:59:30		
471	22:00:00		
470	22:00:30		
469	22:01:00		
471	22:01:30		
471	22:02:00		
471	22:02:30		
470	22:03:00		
470	22:03:30		
471	22:04:00		
471	22:04:30		
470	22:05:00		
470	22:05:30		
470	22:06:00		
471	22:06:30		
470	22:07:00		
471	22:07:30		
472	22:08:00		
471	22:08:30		
471	22:09:00		
471	22:09:30		
471	22:10:00		
